대분류,중분류,소분류,Section,테스트 항목,기대결과,FireTV,ROKU,AndroidTV,AppleTV
Splash Screen,,,Splash Screen,KOCOWA Logo image 확인,KOCOWA logo image 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Splash Screen,,,Splash Screen,KOCOWA Logo image Animation 확인,KOCOWA logo image Animation 적용되어 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Splash Screen,Get Started,,Splash Screen>Get Started,Get Started Page 진입 동작 확인,Get Started Page 진입된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Splash Screen,Get Started,,Splash Screen>Get Started,미결제 시 Initial Page 진입 동작 확인,Initial Page 진입된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Splash Screen,Get Started,,Splash Screen>Get Started,Home Main Page 진입 동작 확인,Home Main Page 진입된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Splash Screen,Get Started,,Splash Screen>Get Started,Network 미연결 시 동작 확인,Offline POP UP 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,Background image 확인,Background image 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,KOCOWA Logo image 확인,KOCOWA logo image 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,title text 확인,title text 노출된다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,title text stringset 확인,"""A Library of Korean Stories, All in One Place"" text 출력된다",UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,리모컨 아래 방향키 입력 시 동작 확인,focus 하단으로 이동한다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,리모컨 위 방향키 입력 시 동작 확인,focus 상단으로 이동한다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,리모컨 우측 방향키 입력 시 동작 확인,focus 우측으로 이동한다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
Get Started Page,,,Get Started Page,리모컨 좌측 방향키 입력 시 동작 확인,focus 좌측으로 이동한다,UNTESTED,UNTESTED,UNTESTED,UNTESTED
