대분류,중분류,소분류,Section,테스트 항목,기대결과,WEB,Apple_Mobile,Android_Phone
Payment Tab Screen,My Subscription Area,Cancel Resume Button,Payment Tab Screen>My Subscription Area>Cancel Resume Button,Cancel Resume Button 노출 여부 확인,Cancel Resume Button 노출되지 않는다,UNTESTED,비대상,비대상
Series Detailed Page,,,Series Detailed Page,Scroll Up 동작 여부 확인,Scroll Up 동작하지 않는다,UNTESTED,비대상,비대상
Series Detailed Page,,,Series Detailed Page,Scroll Down 동작 확인,Scroll Down 된다,UNTESTED,비대상,비대상
Series Detailed Page,,,Series Detailed Page,Scroll Down 동작 여부 확인,Scroll Down 동작하지 않는다,UNTESTED,비대상,비대상
Series Detailed Page,,,Series Detailed Page,Scroll Up 동작 확인,Scroll Up 된다,UNTESTED,비대상,비대상
Series Detailed Page,,,Series Detailed Page,Background image 확인,Background image 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,,Series Detailed Page>Top Area,Series Name image 확인,Series Name image 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,,Series Detailed Page>Top Area,Series Name image 노출 여부 확인,Series Name image 노출되지 않는다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Series Name text,Series Detailed Page>Top Area>Series Name text,Series Name text 확인,Series Name text 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Series Name text,Series Detailed Page>Top Area>Series Name text,Content Series Name text 확인,해당 Content Series Name text 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Series Name text,Series Detailed Page>Top Area>Series Name text,Series Name text Max line 확인,Max Line 2줄 적용되어 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Update Cycle text,Series Detailed Page>Top Area>Update Cycle text,Update Cycle text 확인,Update Cycle text 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Update Cycle text,Series Detailed Page>Top Area>Update Cycle text,Update Cycle text UI 확인,Update Cycle text 강조되어 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Top Area,Update Cycle text,Series Detailed Page>Top Area>Update Cycle text,Weekly Update Cycle text Stringset 확인,"""Weekly Update"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,,Series Detailed Page>Description Area,Division Line 확인,Division Line 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Description Area,,Series Detailed Page>Description Area,Comma 확인,Comma 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,Rating icon 확인,Rating icon 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,Content Rating icon 확인,해당 Content Rating icon 노출된다,UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-Y Rating icon 확인,"""TV-Y"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-Y7 Rating icon 확인,"""TV-Y7"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-Y7-FV Rating icon 확인,"""TV-Y7-FV"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-G Rating icon 확인,"""TV-G"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,G Rating icon 확인,"""G"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-PG Rating icon 확인,"""TV-PG"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,PG Rating icon 확인,"""PG"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,PG-13 Rating icon 확인,"""PG-13"" text 출력된다",UNTESTED,비대상,비대상
Series Detailed Page,Description Area,Rating icon,Series Detailed Page>Description Area>Rating icon,TV-14 Rating icon 확인,"""TV-14"" text 출력된다",UNTESTED,비대상,비대상
