project_name,main_category,scope_of_dev,test_case,Fire TV,Roku,Android TV,Apple TV,Web,Apple Mobile,Android Mobile,Smart TV,Vizio TV
KOCOWA 4.0,Contents,Episodes List Screen > Episode Detail,"Comma 확인
Image 형태의 Series Content Name 확인
Text 형태의 Series Content Name 확인
Content Name text 확인
Update Cycle text 확인
주간 Update Cycle text 확인
전체 Episode 개수 노출 확인
Rating icon 확인
Content Rating icon 확인
TV-Y Rating icon 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,Episodes List Screen > Thumbnail,Content Name 생략 확인,True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,Episodes Screen > Bottom Toast POP UP,"Left Time 확인
Left Time stringset 확인
Tab Menu focus 시 UI 확인
Tab Menu focus 시 동작 확인
Episodes Tab Menu 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,Episodes Screen > Share POP UP,"Episodes Tab Menu stringset 확인
Episodes Tab Menu 선택 시 동작 확인
Episodes Tab Menu 기능 확인
Episodes Tab Menu 노출 여부 확인
Trailers and More Tab Menu 확인
Trailers and More Tab Menu stringset 확인
Trailers and More Tab Menu 선택 시 동작 확인
Show Info Tab Menu 확인
Show Info Tab Menu stringset 확인
Show Info Tab Menu 선택 시 동작 확인
More Like This Tab Menu 확인
More Like This Tab Menu stringset 확인
More Like This Tab Menu 선택 시 동작 확인
More Like This Tab Menu 기능 확인
Sorting Button 확인
Sorting Button stringset 확인
Sorting Button focus 시 UI 확인
Sorting Button 기능 확인
Scroll Down 동작 확인
Scroll Up 동작 확인
Scroll Down 동작 가능 여부 확인
리모컨 취소 버튼 입력 시 동작 확인
Episode Grouping List 확인
Episode Group 항목 stringset 확인
Episode Grouping 확인
Episode Group 항목 focus 시 UI 확인
Episode Group 항목 선택 시 동작 확인
Episode Group 항목 기능 확인
Episode Grouping List 노출 여부 확인
Drama Content Sorting Order 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,Episodes Screen > information POP UP,"Variety Content Sorting Order 확인
K-POP Content Sorting Order 확인
Episode Content 확인
Content focus 시 UI 확인
Content focus 시 동작 확인
Content 선택 시 동작 확인
Content 기능 확인
thumbnail image 확인
Progress bar 확인
Content Name 확인
Content Name stringset 확인
Cast Section title text 확인
Cast Section title text stringset 확인
Content Cast 확인
Cast Max Line 확인
Cast 생략 확인
synopsis 확인
synopsis Max Line 확인
synopsis 생략 확인
Episode 미노출 확인
Background image 확인
Newest Button 확인
Newest Button stringset 확인
Newest Button focus 시 UI 확인
Newest Button 선택 시 동작 확인
Newest Button 기능 확인
Oldest Button 확인
Oldest Button stringset 확인
Oldest Button focus 시 UI 확인
Oldest Button 선택 시 동작 확인
Oldest Button 기능 확인
thumbnail image 확인
thumbnail image focus 시 UI 확인
thumbnail image 기능 확인
thumbnail image 갯수 확인
thumbnail image sorting 확인
Progress Bar 확인
Progress Bar 노출 여부 확인
Content Name text 확인
Content Name text stringset 확인
Content Name text stringset 확인
Content Name text stringset 확인
Content name text 확인
synopsis 확인
title text 확인
Content Genre 확인
Comma 확인
title text 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,Favorite Screen > Empty Screen,"title text 확인
Content Cast 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,History Screen > Empty Screen,"Vietnamese Subtitle 확인
Vietnamese Subtitle stringset 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,History Screen > Episode Information POP UP,"title text 확인
Rating icon 확인
Content Rating icon 확인
TV-Y Rating icon 확인
TV-Y7 Rating icon 확인
TV-Y7-FV Rating icon 확인
TV-G Rating icon 확인
G Rating icon 확인
TV-PG Rating icon 확인
PG Rating icon 확인
PG-13 Rating icon 확인
TV-14 Rating icon 확인
R Rating icon 확인
TV-MA Rating icon 확인
NC-17 Rating icon 확인
title text 확인
Running Time text Stringset 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,History Screen > View More,"Chinese Subtitle 확인
Chinese Subtitle stringset 확인",True,True,True,True,False,False,False,True,True
KOCOWA 4.0,Contents,History Screen > Viewing History List Area,"Content Subtitle 확인
Content Subtitle stringset 확인
English Subtitle 확인
English Subtitle stringset 확인
Portuguese Subtitle 확인
Portuguese Subtitle stringset 확인
Spanish Subtitle 확인
Spanish Subtitle stringset 확인",True,True,True,True,False,False,False,True,True
