project_name,main_category,scope_of_dev,test_case,Fire TV,Roku,Android TV,Apple TV,Web,Apple Mobile,Android Mobile,Smart TV,Vizio TV
Get Started,App Download Area,App Store Button,"App Store Button 확인
App Store image 확인
App Store Button 기능 확인
App Store QR Code 확인
App Store QR Code 출력 여부 확인
App Store QR Code 인식 시 동작 확인",False,False,False,False,True,False,False,False,False
Get Started,App Download Area,General Rules,"App Download Area 확인
Background image 확인",False,False,False,False,True,False,False,False,False
Get Started,App Download Area,Google Play Button,"Google play Button 확인
Google play image 확인
Google play Button 기능 확인
Google Play QR Code 확인
Google Play QR Code 출력 여부 확인
Google Play QR Code 인식 시 동작 확인",False,False,False,False,True,False,False,False,False
Get Started,App Download Area,sub text,"sub text 확인
sub text stringset 확인",False,False,False,False,True,False,False,False,False
Get Started,App Download Area,title text,"title text 확인
title text stringset 확인",False,False,False,False,True,False,False,False,False
Get Started,Available Platform Guide Area,General Rules,"Available Platform Guide Area 확인
해상도 320 이하 적용 시 Available Platform Guide Area 출력 여부 확인",False,False,False,False,True,False,False,False,False
Get Started,Available Platform Guide Area,logo image,"Samsung logo image 확인
LG logo image 확인
AppleTV logo image 확인
GoogleTV logo image 확인
ROKU logo image 확인
VIZIO logo image 확인
App Store logo image 확인
Google Play logo image 확인
Google Cast logo image 확인
FireTV logo image 확인",False,False,False,False,True,False,False,False,False
Get Started,Available Platform Guide Area,title text,"title text 확인
title text stringset 확인
title text UI 확인",False,False,False,False,True,False,False,False,False
Get Started,Bottom Invitation Area,General Rules,"Bottom Invitation Area 확인
Bottom Invitation Area 확인
Background image 확인",False,False,False,False,True,True,True,False,False
Get Started,Bottom Invitation Area,Sign Up Button,"Sign Up Button 확인
Sign Up Button stringset 확인
Sign Up Button UI 확인
Sign Up Button 기능 확인
Sign Up Button 확인
Sign Up Button stringset 확인
Sign Up Button UI 확인
Sign Up Button 기능 확인",False,False,False,False,True,True,True,False,False
Get Started,Bottom Invitation Area,sub text,"sub text 확인
sub text stringset 확인
sub text 확인
sub text stringset 확인",False,False,False,False,True,True,True,False,False
